Date,Voucher,Party,Product,Qty,Rate
2017-04-01,1,SOLANKI PLASTICS,DONA-VAI-9100,2,1690.0
2017-04-01,1,SOLANKI PLASTICS,LITE FOAM(1200),6,1620.0
2017-04-01,2,SARNESWARA TRADERS,VISHNU CHOTA WINE,500,23.0
2017-04-01,2,SARNESWARA TRADERS,LITE FOAM(1200),6,1620.0
2017-04-01,2,SARNESWARA TRADERS,DONA-VAI-9100,5,1690.0
2017-04-01,2,SARNESWARA TRADERS,CLASSIC ENJOY(750),1,1320.0
2017-04-01,898,LOCK,VISHNU 250ML,100,30.0
2017-04-01,898,LOCK,BLACK DOG-350ML,100,26.0
2017-04-01,2497,VAMSI KRISHNA FANCY,LOOSE ITEMS,1,800.0
2017-04-01,9263,VAMSI KRISHNA FANCY,LOOSE ITEMS,1,280.0
2017-04-01,9545,VKP,LOOSE ITEMS,1,695.0
2017-04-02,16,KPR,LITE FOAM(1200),1,1620.0
2017-04-03,3,BALAJI PLASTICS,90ML RANGEELA,150,14.5
2017-04-03,4,DURGAHOTEL,SILVER POUCH 9*12,10,90.0
2017-04-03,4,DURGAHOTEL,SILVER POUCH 8*10,10,70.0
2017-04-03,4,DURGAHOTEL,CLASSIC 250ML(100),10,30.0
2017-04-03,4,DURGAHOTEL,"14""7PLY PLATES",200,3.8
2017-04-03,5,SONIYA HIRERS,10*10 TEJA,3,125.0
2017-04-03,5,SONIYA HIRERS,PAPER JUICE 190ML,20,36.0
2017-04-03,5,SONIYA HIRERS,APPLE WINE,50,24.0
2017-04-03,5,SONIYA HIRERS,APPLE 300ML,50,28.0
2017-04-03,5,SONIYA HIRERS,FANCY IC,20,20.0
2017-04-03,5,SONIYA HIRERS,SMART BOUL LOOSE,30,23.0
2017-04-03,5,SONIYA HIRERS,TIRUMALA LEAF(9),1,380.0
2017-04-03,5,SONIYA HIRERS,SOFT NAPKEENS,5,20.0
2017-04-03,5,SONIYA HIRERS,14 GREEN,1000,1.3
2017-04-03,6,VENUGOPAL-INAMADUGU,10*10 MORE,25,136.0
2017-04-03,7,MAYURI HOTEL,500ML PLASTIC BOULS,2000,3.5
2017-04-03,8,VKP,CLASSIC 250ML,100,24.0
2017-04-03,8,VKP,BLACK DOG-350ML,100,25.5
2017-04-03,8,VKP,100LEAF -SP,6,590.0
2017-04-03,9,RAMAKRISHNA GENERAL,12*18 STAR-CUT,35,86.0
2017-04-03,9,RAMAKRISHNA GENERAL,NO-00,25,142.0
2017-04-03,9,RAMAKRISHNA GENERAL,14 GREEN,3000,1.3
